"No.","Time","Source","Destination","Protocol","Length","Info"
"362","87.801159208","192.168.153.128","192.168.153.1","DNS","88","Standard query 0xcaf6 A marketplace.visualstudio.com"
"363","88.215338926","192.168.153.128","192.168.153.1","DNS","100","Standard query 0x3f73 A update.code.visualstudio.com.localdomain"
"364","88.305566781","192.168.153.128","192.168.153.1","DNS","88","Standard query 0x4944 A update.code.visualstudio.com"
"365","88.734683752","192.168.153.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"366","89.231600485","192.168.153.128","192.168.153.1","DNS","104","Standard query 0x8564 A mobile.events.data.microsoft.com.localdomain"
"367","89.248756016","192.168.153.128","192.168.153.1","DNS","88","Standard query 0x5046 A update.code.visualstudio.com"
"368","89.492202329","192.168.153.128","192.168.153.1","DNS","92","Standard query 0xaa9e A mobile.events.data.microsoft.com"
"369","89.615577138","192.168.153.128","192.168.153.1","DNS","86","Standard query 0x307e A api.github.com.localdomain"
"370","90.486130619","192.168.153.128","192.168.153.1","DNS","92","Standard query 0xe053 A mobile.events.data.microsoft.com"
"371","90.701698016","192.168.153.128","192.168.153.1","DNS","104","Standard query 0x901c A mobile.events.data.microsoft.com.localdomain"
"372","90.701915341","192.168.153.128","192.168.153.1","DNS","104","Standard query 0x6a15 AAAA mobile.events.data.microsoft.com.localdomain"
"373","90.792127554","192.168.153.128","192.168.153.1","DNS","92","Standard query 0x8036 A education.github.com.localdomain"
"374","90.822280933","192.168.153.128","192.168.153.1","DNS","100","Standard query 0xe01f A marketplace.visualstudio.com.localdomain"
"375","90.853023045","192.168.153.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"376","91.052553816","192.168.153.128","192.168.153.1","DNS","86","Standard query 0xe8fe A api.github.com.localdomain"
"377","91.300727328","192.168.153.128","192.168.153.1","DNS","91","Standard query 0x2b47 A default.exp-tas.com.localdomain"
"378","91.300982132","192.168.153.128","192.168.153.1","DNS","101","Standard query 0x65c0 A avatars.githubusercontent.com.localdomain"
"379","91.396208327","192.168.153.128","192.168.153.1","DNS","92","Standard query 0x8f83 A www.vscode-unpkg.net.localdomain"
"380","91.580799227","192.168.153.128","192.168.153.1","DNS","104","Standard query 0xe966 A mobile.events.data.microsoft.com.localdomain"
"381","91.581006721","192.168.153.128","192.168.153.1","DNS","104","Standard query 0xb561 AAAA mobile.events.data.microsoft.com.localdomain"
"382","92.386860092","192.168.153.128","192.168.153.1","DNS","80","Standard query 0x9fe1 A www.vscode-unpkg.net"
"383","92.820484820","192.168.153.128","192.168.153.1","DNS","88","Standard query 0xcaf6 A marketplace.visualstudio.com"
"384","92.974658163","192.168.153.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
